tweeter_id,avatar_url,tw_time,tw_text,tw_replies,tw_retweets,tw_favorites
GSTICseries,https://pbs.twimg.com/profile_images/875623570436575233/tndS3CqJ_bigger.jpg,1:25 PM - 28 Nov 2018,"All fueled up? Afternoon session (Waste)#Water as a resource. Special focus on SDG 6. Purpose: review progress of water coming towards #SDGs, reflecting on millennium development goals, and what is the role of science, technology and innovation in reaching these goals. #GSTICpic.twitter.com/vXeKzTUBsG",0,1,2
11ionArt,https://pbs.twimg.com/profile_images/1067853843709509632/YH3RBYn7_bigger.jpg,11:20 AM - 28 Nov 2018,"DID YOU KNOW? 5 Ongoing Trends that Will Reshape Intelligent Enterprises & The Globe 2000-2020 20th
Trend 1: Citizen #AI
Trend 2: Extended Reality (#AR / #VR)
Trend 3: Data Veracity
Trend 4: Frictionless Business
Trend 5: Internet of Things #IoT
""UN Millennium Development Goals"" pic.twitter.com/f8LR1I3eMm",0,1,0
G2H2_Geneva,https://pbs.twimg.com/profile_images/778233965522087936/NKh5YNxV_bigger.jpg,6:08 AM - 28 Nov 2018,Global health disruptors: Millennium development goals. @MartenRobert @bmj_latest #globalhealthhttps://blogs.bmj.com/bmj/2018/11/26/global-health-disruptors-millennium-development-goals/ …,1,2,6
AnnaRHaskins,https://pbs.twimg.com/profile_images/941757829936902144/dkRJra7J_bigger.jpg,1:35 AM - 28 Nov 2018,"In class today I referenced the Millennium Development Goals in a lecture on combating global poverty. Students looked generally clueless so I said “remind me, how old were you all in 2000?”

Their response: “zero”

Me: ",3,2,92
PensiveTM,https://pbs.twimg.com/profile_images/1047865629355724801/HVi3ZkLx_bigger.jpg,6:08 PM - 27 Nov 2018,The true extent of global poverty and hunger: Questioning the good news narrative of the Millennium Development Goals | Request PDF https://www.researchgate.net/publication/293191457_The_true_extent_of_global_poverty_and_hunger_Questioning_the_good_news_narrative_of_the_Millennium_Development_Goals …,0,1,1
drcamarin,https://pbs.twimg.com/profile_images/1021851862885130241/cbr5Hx3z_bigger.jpg,3:20 PM - 27 Nov 2018,@agaviriau Global health disruptors: Millennium development goals. https://blogs.bmj.com/bmj/2018/11/26/global-health-disruptors-millennium-development-goals/ …,0,0,1
AlanBenstock,https://pbs.twimg.com/profile_images/698441463256977408/fTu9LYFw_bigger.jpg,2:09 PM - 27 Nov 2018,I have just read an article on global development containing a paragraph with 42 letters used to make UN acronyms rather than actual words. On further checking MDG   stands for Millennium Development Goals; Air Madagascar and My Dream Girl! Best remember what I am reading about pic.twitter.com/iD6Opdhpcq,0,0,0
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,10:54 AM - 27 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
egumboslav,https://pbs.twimg.com/profile_images/1004800678336827394/LN9BxT3z_bigger.jpg,10:33 AM - 27 Nov 2018,"I once had a study guide for Transport Economics with 23 pages, after entering the industry, I have come to realise that the study guide was all about SADC millennium development goals and I haven't used that to close a deal up to today. pic.twitter.com/gSToOvj0Ew",0,1,1
MalariaPapers,https://pbs.twimg.com/profile_images/633328476070785024/zGKHLt0g_bigger.png,10:01 AM - 27 Nov 2018,"Cause-specific child mortality performance and contributions to all-cause child mortality, and number of child lives saved during the Millennium Development Goals era: a country-level analysis. https://ift.tt/2ApsR9f ",0,0,0
CheltColGeog,https://pbs.twimg.com/profile_images/1035543025408081921/vQ-BC3wX_bigger.jpg,9:38 AM - 27 Nov 2018,@CheltColGeog iGCSE Geographers..where are we with millennium development goals? https://twitter.com/OCR_Geography/status/1064853417741479936 …,0,0,0
60Macc,https://pbs.twimg.com/profile_images/908919996532903936/jPbiANr7_bigger.jpg,12:20 AM - 27 Nov 2018,Millennium Development Goals https://encyclopedia.thefreedictionary.com/Millennium+Development+Goals?sr=UA72 … via @farlex,0,0,0
kiplangatLedama,https://pbs.twimg.com/profile_images/705773448191201285/ba_YmaZI_bigger.jpg,5:07 PM - 26 Nov 2018,"First it was vision 2000,Then 2015 Millennium development Goals, then vision 2030 and now #BlueEconomyConference, Are you thinking what i am thinking?",0,0,5
faziarizvi,https://pbs.twimg.com/profile_images/537347315590119425/qCRk2e7M_bigger.jpeg,5:04 PM - 26 Nov 2018,"""One of the United Nations’ Millennium Development Goals focused on driving down the maternal mortality rate. This led to efforts in almost every country to save moms’ lives — and they were largely successful:""",1,0,0
Tarif_Naqsh,https://pbs.twimg.com/profile_images/497385065597255682/vIMtovnq_bigger.jpeg,1:15 PM - 25 Nov 2018,Millennium Development Goals: The profound research on the Progress of Universal Primary Education in Pakistan (2000-2015) https://ift.tt/2R7wtDL ,0,0,0
IfeanyiUddin,https://pbs.twimg.com/profile_images/1054467139149746182/IXqj4Gdn_bigger.jpg,10:46 AM - 25 Nov 2018,“The un’s Millennium Development Goals included the ambition that by 2015 all the world’s children would complete primary school. This has largely been achieved: nine out of ten children are now enrolled.” | TheEconomist,0,0,0
HallidayInc,https://pbs.twimg.com/profile_images/804835600360734720/g0A4l0Ll_bigger.jpg,8:33 AM - 25 Nov 2018,"I was going through my past community development projects and I found this video during the Millennium Development Goals (MDGs) . In 2015 on World Food Day, I and few of my friends from Read and Lead... https://www.facebook.com/www.gbadamosi.sheriff/videos/10213001364811767/ …",0,0,0
globalpeacef1,https://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,6:54 AM - 25 Nov 2018,Advocate and contribute to the achievement of the United Nations’ Millennium Development Goals. http://bit.ly/VgToM0 ,0,0,0
Gbolarin_,https://pbs.twimg.com/profile_images/1053724431271559168/b6-yxdC0_bigger.jpg,7:35 PM - 24 Nov 2018,"3
The SDGs are an offshoot of the now outdated ""Millennium Development Goals"" (MDGs), which were introduced in 2000 (lasting till 2015), and comprised of just 8 Goals (SDGs has 17). Also, the MDGs were tailored for developing countries, whereas the SDGs cover all countries. #SDGs",1,2,0
